d a r R i I h H t T P p
0 0 0 0 0 0 0 0 0 0 0 0
1.3862944e+00 3.7135721e+00 1.3862944e+00 3.7135721e+00 1.3862944e+00 3.7135721e+00 1.3862944e+00 3.7135721e+00 1.3862944e+00 3.7135721e+00 0.0000000e+00 0.0000000e+00
2.0794415e+00 3.8066625e+00 2.0794415e+00 3.8066625e+00 2.0794415e+00 3.8066625e+00 2.0794415e+00 3.8066625e+00 2.0794415e+00 3.8066625e+00 6.9078000e+00 6.9078000e+00
1.7917595e+00 2.4849066e+00 1.7917595e+00 2.4849066e+00 1.7917595e+00 2.4849066e+00 1.7917595e+00 2.4849066e+00 1.7917595e+00 2.4849066e+00 0.0000000e+00 0.0000000e+00
2.3025851e+00 2.7725887e+00 2.3025851e+00 2.7725887e+00 2.3025851e+00 2.7725887e+00 2.3025851e+00 2.7725887e+00 2.3025851e+00 2.7725887e+00 6.9078000e+00 6.9078000e+00
2.5649494e+00 5.1416636e+00 2.5649494e+00 5.1416636e+00 2.5649494e+00 5.1416636e+00 2.5649494e+00 5.1416636e+00 2.5649494e+00 5.1416636e+00 0.0000000e+00 0.0000000e+00
2.8332133e+00 5.1647860e+00 2.8332133e+00 5.1647860e+00 2.8332133e+00 5.1647860e+00 2.8332133e+00 5.1647860e+00 2.8332133e+00 5.1647860e+00 6.9078000e+00 6.9078000e+00
2.7080502e+00 2.4849066e+00 2.7080502e+00 2.4849066e+00 2.7080502e+00 2.4849066e+00 2.7080502e+00 2.4849066e+00 2.7080502e+00 2.4849066e+00 0.0000000e+00 0.0000000e+00
2.9444390e+00 2.7725887e+00 2.9444390e+00 2.7725887e+00 2.9444390e+00 2.7725887e+00 2.9444390e+00 2.7725887e+00 2.9444390e+00 2.7725887e+00 6.9078000e+00 6.9078000e+00
2.8903718e+00 5.0238805e+00 2.8903718e+00 5.0238805e+00 2.8903718e+00 5.0238805e+00 2.8903718e+00 5.0238805e+00 2.8903718e+00 5.0238805e+00 0.0000000e+00 0.0000000e+00
3.0910425e+00 5.0498560e+00 3.0910425e+00 5.0498560e+00 3.0910425e+00 5.0498560e+00 3.0910425e+00 5.0498560e+00 3.0910425e+00 5.0498560e+00 6.9078000e+00 6.9078000e+00
2.9444390e+00 3.5553481e+00 2.9444390e+00 3.5553481e+00 2.9444390e+00 3.5553481e+00 2.9444390e+00 3.5553481e+00 2.9444390e+00 3.5553481e+00 0.0000000e+00 0.0000000e+00
3.1354942e+00 3.6635616e+00 3.1354942e+00 3.6635616e+00 3.1354942e+00 3.6635616e+00 3.1354942e+00 3.6635616e+00 3.1354942e+00 3.6635616e+00 6.9078000e+00 6.9078000e+00
